
--- NEW ENGINE RUN: 2026-01-14 15:29:32 (Target: 서울 강남구, Count: 5) ---
2026-01-15 12:40:02,930 - INFO - Progress: 10/10
2026-01-15 12:40:10,018 - INFO - ✅ Finished. Total saved: 10

--- NEW ENGINE RUN: 2026-01-15 12:51:02 (Target: 인천 산곡동, Count: 10) ---
2026-01-15 12:51:07,995 - INFO - 🔍 Searching: 인천 산곡동 피부관리샵
2026-01-15 12:51:14,045 - INFO - 🗺️ Map view detected. Switching to list view...
2026-01-15 12:51:22,277 - INFO - Found 100 list items. Extracting basic info...
2026-01-15 12:51:22,848 - INFO - 🔍 Visiting detail page: 이미지수7
2026-01-15 12:51:34,480 - INFO - Firebase Firestore initialized successfully
2026-01-15 12:51:35,917 - INFO - Successfully saved shop to Firebase: 벨르스파앤바디테라피 뷰티 마사지 인천부평점
2026-01-15 12:51:35,917 - INFO - ✅ Firebase Saved: 벨르스파앤바디테라피 뷰티 마사지 인천부평점
2026-01-15 12:51:35,917 - INFO - Progress: 1/10
2026-01-15 12:51:38,977 - INFO - 🔍 Visiting detail page: 이미지수114
2026-01-15 12:51:43,752 - INFO - Firebase Firestore initialized successfully
2026-01-15 12:51:43,849 - INFO - Successfully saved shop to Firebase: 인치바이인치_LPG 엔더몰로지 인천부평점
2026-01-15 12:51:43,849 - INFO - ✅ Firebase Saved: 인치바이인치_LPG 엔더몰로지 인천부평점
2026-01-15 12:51:43,850 - INFO - Progress: 2/10
2026-01-15 12:51:47,754 - INFO - 🔍 Visiting detail page: 이미지수7
2026-01-15 12:51:53,033 - INFO - Firebase Firestore initialized successfully
2026-01-15 12:51:53,143 - INFO - Successfully saved shop to Firebase: 김선미 에스테틱
2026-01-15 12:51:53,143 - INFO - ✅ Firebase Saved: 김선미 에스테틱
2026-01-15 12:51:53,143 - INFO - Progress: 3/10
2026-01-15 12:51:59,574 - INFO - 🔍 Visiting detail page: 이미지수14
2026-01-15 12:52:04,608 - INFO - Firebase Firestore initialized successfully
2026-01-15 12:52:04,715 - INFO - Successfully saved shop to Firebase: 153 에스테틱 피부관리
2026-01-15 12:52:04,716 - INFO - ✅ Firebase Saved: 153 에스테틱 피부관리
2026-01-15 12:52:04,716 - INFO - Progress: 4/10
2026-01-15 12:52:10,853 - INFO - 🔍 Visiting detail page: 이미지수7
2026-01-15 12:52:16,683 - INFO - Firebase Firestore initialized successfully
2026-01-15 12:52:16,791 - INFO - Successfully saved shop to Firebase: 부평산곡 근육조정마사지
2026-01-15 12:52:16,791 - INFO - ✅ Firebase Saved: 부평산곡 근육조정마사지
2026-01-15 12:52:16,791 - INFO - Progress: 5/10
2026-01-15 12:52:23,341 - INFO - 🔍 Visiting detail page: 이미지수28
2026-01-15 12:52:27,905 - INFO - Firebase Firestore initialized successfully
2026-01-15 12:52:28,026 - INFO - Successfully saved shop to Firebase: 리우에스테틱
2026-01-15 12:52:28,026 - INFO - ✅ Firebase Saved: 리우에스테틱
2026-01-15 12:52:28,027 - INFO - Progress: 6/10
2026-01-15 12:52:31,501 - INFO - 🔍 Visiting detail page: 이미지수10
2026-01-15 12:52:36,664 - INFO - Firebase Firestore initialized successfully
2026-01-15 12:52:36,761 - INFO - Successfully saved shop to Firebase: 판다차이나풋마사지
2026-01-15 12:52:36,761 - INFO - ✅ Firebase Saved: 판다차이나풋마사지
2026-01-15 12:52:36,761 - INFO - Progress: 7/10
2026-01-15 12:52:41,577 - INFO - 🔍 Visiting detail page: 이미지수59
2026-01-15 12:52:46,217 - INFO - Firebase Firestore initialized successfully
2026-01-15 12:52:46,323 - INFO - Successfully saved shop to Firebase: 아느크
2026-01-15 12:52:46,323 - INFO - ✅ Firebase Saved: 아느크
2026-01-15 12:52:46,323 - INFO - Progress: 8/10
2026-01-15 12:52:49,691 - INFO - 🔍 Visiting detail page: 이미지수60
2026-01-15 12:52:55,308 - INFO - Firebase Firestore initialized successfully
2026-01-15 12:52:55,412 - INFO - Successfully saved shop to Firebase: js피부연구소
2026-01-15 12:52:55,412 - INFO - ✅ Firebase Saved: js피부연구소
2026-01-15 12:52:55,412 - INFO - Progress: 9/10
2026-01-15 12:53:01,257 - INFO - 🔍 Visiting detail page: 이미지수11
2026-01-15 12:53:06,335 - INFO - Firebase Firestore initialized successfully
2026-01-15 12:53:06,438 - INFO - Successfully saved shop to Firebase: 쏘울링
2026-01-15 12:53:06,439 - INFO - ✅ Firebase Saved: 쏘울링
2026-01-15 12:53:06,439 - INFO - Progress: 10/10
2026-01-15 12:53:10,272 - INFO - ✅ Finished. Total saved: 10

--- NEW ENGINE RUN: 2026-01-15 12:59:16 (Target: 인천 산곡동, Count: 10) ---
2026-01-15 12:59:26,347 - INFO - 🔍 Searching: 인천 산곡동 피부관리샵
2026-01-15 12:59:31,502 - INFO - 🗺️ Map view detected. Switching to list view...
2026-01-15 12:59:39,722 - INFO - Found 100 list items. Extracting basic info...
2026-01-15 12:59:40,740 - INFO - 🔍 Visiting detail page: 이미지수7
2026-01-15 12:59:53,232 - INFO - Firebase Firestore initialized successfully
2026-01-15 12:59:55,037 - INFO - Successfully saved shop to Firebase: 벨르스파앤바디테라피 뷰티 마사지 인천부평점
2026-01-15 12:59:55,038 - INFO - ✅ Firebase Saved: 벨르스파앤바디테라피 뷰티 마사지 인천부평점
2026-01-15 12:59:55,038 - INFO - Progress: 1/10
